rank,gw_event_id,grb_event_id,confidence_score,time_diff_sec,time_diff_hours,angular_sep_deg,within_error_circle,temporal_score,spatial_score,significance_score,combined_error_deg,gw_time,grb_time,gw_ra,gw_dec,grb_ra,grb_dec,gw_snr,grb_flux,gw_pos_error,grb_pos_error
36,GW200129_065458,188241,0.6819056733644767,168455101.6,46793.08377777778,,False,0.0,0.0,0.8523820917055959,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4957263,65.22676717,26.8,27.4,,5.56e-05
37,GW150914,188213,0.681248207148548,308362486.6,85656.24627777778,,False,0.0,0.0,0.8515602589356849,,2015-09-14 09:50:44.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9822136,52.9542993,26.0,28.38,,5.56e-05
38,GW200129_065458,188243,0.6808762163924889,168455101.6,46793.08377777778,,False,0.0,0.0,0.851095270490611,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.3701133,65.18700923,26.8,27.3,,5.56e-05
39,GW190521_074359,188213,0.679924853908044,192162091.6,53378.35877777778,,False,0.0,0.0,0.849906067385055,,2019-05-21 07:43:59.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9822136,52.9542993,25.9,28.38,,5.56e-05
40,GW200129_065458,188248,0.679829225486556,168455101.6,46793.08377777778,,False,0.0,0.0,0.849786531858195,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4870493,65.22368402,26.8,27.2,,5.56e-05
41,GW200129_065458,188240,0.679829225486556,168455101.6,46793.08377777778,,False,0.0,0.0,0.849786531858195,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5314925,65.16343214,26.8,27.2,,5.56e-05
42,GW200129_065458,188242,0.6776818097487466,168455101.6,46793.08377777778,,False,0.0,0.0,0.8471022621859332,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.3592336,65.24322071,26.8,27.0,,5.56e-05
43,GW200129_065458,188340,0.677023498532291,78858301.6,21905.083777777778,,False,0.0,0.0,0.8462793731653637,,2020-01-29 06:54:58.400000+00:00,2022-07-30 00:00:00+00:00,,,24.347458,-8.47727,26.8,26.94,,0.000138889
44,GW150914,188212,0.6758771922734903,308362486.6,85656.24627777778,,False,0.0,0.0,0.8448464903418628,,2015-09-14 09:50:44.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9856372,52.95234096,26.0,27.78,,5.56e-05
45,GW150914,188215,0.6755936203838786,308362486.6,85656.24627777778,,False,0.0,0.0,0.8444920254798481,,2015-09-14 09:50:44.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9419778,52.97412474,26.0,27.75,,5.56e-05
46,GW190521_074359,188212,0.674564272454851,192162091.6,53378.35877777778,,False,0.0,0.0,0.8432053405685637,,2019-05-21 07:43:59.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9856372,52.95234096,25.9,27.78,,5.56e-05
47,GW190521_074359,188215,0.6742812514155389,192162091.6,53378.35877777778,,False,0.0,0.0,0.8428515642694235,,2019-05-21 07:43:59.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9419778,52.97412474,25.9,27.75,,5.56e-05
48,GW150914,188246,0.6731727547019174,306511755.6,85142.15433333334,,False,0.0,0.0,0.8414659433773967,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4245773,65.14847058,26.0,27.5,,5.56e-05
49,GW150914,188238,0.6731727547019174,306511755.6,85142.15433333334,,False,0.0,0.0,0.8414659433773967,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4363327,65.22851553,26.0,27.5,,5.56e-05
50,GW200129_065458,188247,0.6731674778191223,168455101.6,46793.08377777778,,False,0.0,0.0,0.8414593472739028,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5505683,65.17682353,26.8,26.6,,5.56e-05
51,GW150914,188241,0.6721750654776089,306511755.6,85142.15433333334,,False,0.0,0.0,0.840218831847011,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4957263,65.22676717,26.0,27.4,,5.56e-05
52,GW200129_065458,188245,0.671991980413243,168455101.6,46793.08377777778,,False,0.0,0.0,0.8399899755165537,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.2914272,65.24148441,26.8,26.5,,5.56e-05
53,GW190521_074359,188246,0.6718650883667905,190311360.6,52864.266833333335,,False,0.0,0.0,0.839831360458488,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4245773,65.14847058,25.9,27.5,,5.56e-05
54,GW190521_074359,188238,0.6718650883667905,190311360.6,52864.266833333335,,False,0.0,0.0,0.839831360458488,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4363327,65.22851553,25.9,27.5,,5.56e-05
55,GW150914,188243,0.6711602985757026,306511755.6,85142.15433333334,,False,0.0,0.0,0.8389503732196282,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.3701133,65.18700923,26.0,27.3,,5.56e-05
56,GW200129_065458,188214,0.6709176518587256,170305832.6,47307.17572222222,,False,0.0,0.0,0.838647064823407,,2020-01-29 06:54:58.400000+00:00,2025-06-22 10:05:31+00:00,,,214.9461809,52.96828558,26.8,26.41,,5.56e-05
57,GW190521_074359,188241,0.6708693371956822,190311360.6,52864.266833333335,,False,0.0,0.0,0.8385866714946026,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4957263,65.22676717,25.9,27.4,,5.56e-05
58,GW200129_065458,188244,0.6707973175048152,168455101.6,46793.08377777778,,False,0.0,0.0,0.838496646881019,,2020-01-29 06:54:58.400000+00:00,2025-06-01 00:00:00+00:00,,,268.2865683,65.24001444,26.8,26.4,,5.56e-05
59,GW150914,188248,0.6701282479443044,306511755.6,85142.15433333334,,False,0.0,0.0,0.8376603099303804,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4870493,65.22368402,26.0,27.2,,5.56e-05
60,GW150914,188240,0.6701282479443044,306511755.6,85142.15433333334,,False,0.0,0.0,0.8376603099303804,,2015-09-14 09:50:44.400000+00:00,2025-06-01 00:00:00+00:00,,,268.5314925,65.16343214,26.0,27.2,,5.56e-05
61,GW190521_074359,188243,0.6698565415210818,190311360.6,52864.266833333335,,False,0.0,0.0,0.8373206769013521,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.3701133,65.18700923,25.9,27.3,,5.56e-05
62,GW190521_074359,188248,0.6688264956913595,190311360.6,52864.266833333335,,False,0.0,0.0,0.8360331196141993,,2019-05-21 07:43:59.400000+00:00,2025-06-01 00:00:00+00:00,,,268.4870493,65.22368402,25.9,27.2,,5.56e-05
