,event_id,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength,source,event_type
33,bn171119992,2017-11-19 23:48:27.172051,135.51,-46.99,1.0,50.1743,HEASARC,GRB
34,bn170115743,2017-01-15 17:49:14.033856,189.12,-46.85,0.26,19.9336,HEASARC,GRB
35,bn170208758,2017-02-08 18:11:16.397001,166.564,-46.7674,0.0006,10.848,HEASARC,GRB
36,bn170308221,2017-03-08 05:17:59.375645,216.35,-46.33,1.19,24.0668,HEASARC,GRB
37,bn170803415,2017-08-03 09:57:44.255779,352.69,-46.33,4.21,8.20962,HEASARC,GRB
38,bn170402961,2017-04-02 23:03:25.290951,307.92,-45.93,5.55,8.58956,HEASARC,GRB
39,bn170301812,2017-03-01 19:28:41.045088,278.55,-45.38,12.33,2.48171,HEASARC,GRB
40,bn170424425,2017-04-24 10:12:30.754253,343.53,-45.2,0.43,6.30888,HEASARC,GRB
41,bn170801690,2017-08-01 16:33:43.396272,343.18,-41.75,9.13,2.73822,HEASARC,GRB
42,bn170219110,2017-02-19 02:38:04.751462,78.69,-41.23,10.22,4.95602,HEASARC,GRB
43,bn170510217,2017-05-10 05:12:25.734528,159.911,-39.328,0.34,19.6068,HEASARC,GRB
44,bn170802638,2017-08-02 15:18:24.801293,52.3,-39.21,2.05,22.3178,HEASARC,GRB
45,bn170607946,2017-06-07 22:41:58.946842,246.661,-39.159,0.64,16.9571,HEASARC,GRB
46,bn170323058,2017-03-23 01:23:23.268653,145.19,-39.0,9.63,4.5288,HEASARC,GRB
47,bn170915161,2017-09-15 03:51:30.156653,120.26,-38.42,1.21,7.44167,HEASARC,GRB
48,bn170125102,2017-01-25 02:27:10.307232,359.41,-38.23,26.59,2.51266,HEASARC,GRB
49,bn171207809,2017-12-07 19:24:24.172186,219.42,-38.06,5.46,2.87652,HEASARC,GRB
50,bn170614505,2017-06-14 12:06:38.715869,310.99,-37.91,15.16,2.47124,HEASARC,GRB
51,bn170923101,2017-09-23 02:25:00.800026,120.12,-35.33,4.89,2.67135,HEASARC,GRB
52,bn171227000,2017-12-27 00:00:13.401936,280.69,-35.03,1.0,95.004,HEASARC,GRB
53,bn170718152,2017-07-18 03:39:30.167741,102.27,-35.0,7.35,4.25186,HEASARC,GRB
54,bn170726249,2017-07-26 05:58:15.419625,166.42,-34.0,2.83,4.18523,HEASARC,GRB
55,bn171223818,2017-12-23 19:38:15.072864,115.84,-33.48,6.2,17.5933,HEASARC,GRB
56,bn171117515,2017-11-17 12:21:38.868048,196.81,-33.0,2.76,14.5307,HEASARC,GRB
57,bn170429799,2017-04-29 19:11:12.596726,259.71,-32.77,1.82,10.7724,HEASARC,GRB
58,bn170826819,2017-08-26 19:38:56.478509,327.7,-31.8,1.0,29.9648,HEASARC,GRB
59,bn170711019,2017-07-11 00:26:52.776009,66.69,-30.69,15.0,3.02728,HEASARC,GRB
60,bn171023097,2017-10-23 02:19:46.319491,325.36,-30.4,6.25,3.42473,HEASARC,GRB
61,bn170127634,2017-01-27 15:13:28.769491,19.9766,-30.3588,0.003,5.65617,HEASARC,GRB
62,bn170730133,2017-07-30 03:11:44.586989,323.91,-29.75,4.23,9.42276,HEASARC,GRB
63,bn170910368,2017-09-10 08:50:00.358426,197.65,-29.71,6.55,4.93727,HEASARC,GRB
64,bn170130302,2017-01-30 07:14:44.680646,271.05,-29.11,5.44,5.22927,HEASARC,GRB
65,bn170114833,2017-01-14 19:59:12.487747,137.92,-28.46,1.39,13.0431,HEASARC,GRB
66,bn170906039,2017-09-06 00:55:40.851264,232.204,-28.2563,0.0006,13.2636,HEASARC,GRB
67,bn170829414,2017-08-29 09:56:30.579302,340.08,-28.23,3.18,5.30391,HEASARC,GRB
68,bn171230955,2017-12-30 22:55:29.754509,89.53,-27.75,1.08,5.38104,HEASARC,GRB
69,bn171013350,2017-10-13 08:24:42.108336,171.28,-26.64,1.0,7.66851,HEASARC,GRB
70,bn170621784,2017-06-21 18:49:28.380000,76.06,-26.44,10.35,2.77997,HEASARC,GRB
71,bn170926782,2017-09-26 18:46:05.164349,344.12,-26.25,5.07,7.39554,HEASARC,GRB
72,bn170825307,2017-08-25 07:22:01.418650,274.44,-26.17,3.2,5.28011,HEASARC,GRB
73,bn171004672,2017-10-04 16:07:16.420598,82.2,-25.74,1.61,6.22606,HEASARC,GRB
74,bn170405777,2017-04-05 18:39:22.885776,219.81,-25.244,0.05,17.0962,HEASARC,GRB
75,bn170514180,2017-05-14 04:18:38.884781,122.1,-25.3,2.21,13.6219,HEASARC,GRB
76,bn170901345,2017-09-01 08:16:54.377357,135.43,-24.78,12.16,2.0691,HEASARC,GRB
77,bn170817529,2017-08-17 12:41:06.474624,197.45,-23.3815,0.0,3.13589,HEASARC,GRB
78,bn170705200,2017-07-05 04:48:30.103833,359.51,-21.94,2.11,3.71831,HEASARC,GRB
79,bn171209671,2017-12-09 16:06:35.207625,239.05,-21.26,3.64,9.74638,HEASARC,GRB
80,bn171022085,2017-10-22 02:03:03.653366,254.46,-21.04,3.66,3.40812,HEASARC,GRB
81,bn171030729,2017-10-30 17:29:45.122208,74.09,-19.55,23.39,5.24888,HEASARC,GRB
82,bn170723076,2017-07-23 01:49:10.404768,135.94,-19.44,12.89,1.86631,HEASARC,GRB
83,bn170115662,2017-01-15 15:52:36.933139,81.56,-18.67,7.19,4.88376,HEASARC,GRB
84,bn171219279,2017-12-19 06:42:17.078890,269.62,-18.03,8.68,3.22189,HEASARC,GRB
85,bn170715878,2017-07-15 21:04:13.314173,287.22,-16.61,7.81,2.88645,HEASARC,GRB
86,bn170803729,2017-08-03 17:30:27.111830,174.935,-16.312,0.001,13.3597,HEASARC,GRB
