event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,strength_signal
GRB 781121B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043833+00:00,,,1.016081132,3.81E-08
GRB 781123,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043835+00:00,,,0.525543793,1.63E-08
GRB 781124,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043836+00:00,180.64,21.72,1.138333806,1.91E-07
GRB 781124,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043836+00:00,,,1.88875746,1.91E-07
GRB 781124,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043836+00:00,,,1.442326581,1.91E-07
GRB 781124,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043836+00:00,,,0.711301672,1.91E-07
GRB 781124,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043836+00:00,,,0.783212261,1.91E-07
GRB 781124,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043836+00:00,181.94,23.65,1.308192223,1.91E-07
GRB 781207,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043849+00:00,,,0.698977806,8.12E-09
GRB 781217,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043859+00:00,,,1.76755151,
GRB 781217,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043859+00:00,,,1.749193202,
GRB 781217,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043859+00:00,210.75,-39.24,0.946821138,
GRB 781229,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043871+00:00,,,1.257004286,1.09E-08
GRB 790101,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043874+00:00,,,1.685324325,2.83E-07
GRB 790101,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043874+00:00,,,1.30394899,2.83E-07
GRB 790101,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043874+00:00,183.64,14.72,1.29720069,2.83E-07
GRB 790101,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043874+00:00,231.102,-16.076,1.757415415,2.83E-07
GRB 790102B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043875+00:00,,,1.848545014,9.21E-09
GRB 790102A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043875+00:00,,,0.526554332,3.54E-08
GRB 790103,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043876+00:00,,,1.221632119,1.20E-09
GRB 790105,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043878+00:00,134.739,26.205,1.922842196,
GRB 790105,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043878+00:00,209.71,-25.24,0.550601147,
GRB 790107A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043880+00:00,,,1.813700356,7.58E-09
GRB 790107B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043880+00:00,271.76,-23.99,0.837911175,
GRB 790107B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043880+00:00,,,1.158277554,
GRB 790107B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043880+00:00,,,0.652499103,
GRB 790113,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043886+00:00,,,0.677353134,6.00E-07
GRB 790113,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043886+00:00,,,1.973733761,6.00E-07
GRB 790113,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043886+00:00,,,0.8110415,6.00E-07
GRB 790113,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043886+00:00,249.22,-76.6,1.941669798,6.00E-07
GRB 790113,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043886+00:00,249.22,-76.6,0.658424759,6.00E-07
GRB 790113,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043886+00:00,,,0.639027913,6.00E-07
GRB 790116,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043889+00:00,158.62,-13.26,1.853742034,1.25E-07
GRB 790116,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043889+00:00,,,1.381658081,1.25E-07
GRB 790119A,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043892+00:00,,,1.864803864,1.09E-07
GRB 790119B,HEASARC:GRBCAT,GRB,1970-01-01 00:00:00.000043892+00:00,250.74,-21.09,1.604244828,
