event_id,source,event_type,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength
185832,TNS,SN Ia,2025-08-11 06:51:32.999000+00:00,4.5257349,53.9595554,5.56E-05,19.1749
188091,TNS,AT,2025-08-17 06:44:31.004000+00:00,332.2038471,31.9358573,5.56E-05,21.2426
188090,TNS,AT,2025-09-03 19:06:43.776000+00:00,110.492128,-60.401188,5.56E-05,20.06
188088,TNS,AT,2025-08-18 02:58:55.200000+00:00,85.8522,-30.31777,5.56E-05,19.697
188086,TNS,AT,2025-09-04 11:27:40+00:00,80.00741069,1.115890807,5.56E-05,19.9189
188085,TNS,AT,2025-09-04 11:27:40+00:00,82.08168035,4.030059463,5.56E-05,20.6163
184360,TNS,AT,2025-07-19 03:49:53.760000+00:00,72.994832,-13.9580435,5.56E-05,18.36
188084,TNS,AT,2025-08-30 12:23:37.997000+00:00,133.4985785,29.08449755,5.56E-05,18.5769
188083,TNS,AT,2025-09-04 03:47:15+00:00,244.0556518,60.79434304,5.56E-05,20.0254
188082,TNS,AT,2025-09-02 05:51:43.001000+00:00,264.6759523,73.51362749,5.56E-05,20.2619
188081,TNS,AT,2025-08-29 09:09:02.998000+00:00,0.627458275,-10.66639398,5.56E-05,20.2709
187813,TNS,AT,2025-09-01 01:46:12+00:00,18.38682673,14.31822193,5.56E-05,20.38
188080,TNS,AT,2025-09-04 11:28:20.997000+00:00,74.58988742,5.088465202,5.56E-05,20.6415
188079,TNS,AT,2025-09-04 18:07:13.728000+00:00,319.4068762,21.12660806,5.56E-05,18.26
187794,TNS,AT,2025-08-29 07:00:34.001000+00:00,333.6297699,40.81047185,5.56E-05,20.5333
187647,TNS,AT,2025-08-29 19:02:11.616000+00:00,323.1981895,27.87128728,5.56E-05,20.32
187504,TNS,AT,2025-08-24 05:34:07.003000+00:00,301.3201285,4.840090678,5.56E-05,20.6248
188077,TNS,AT,2025-08-29 09:16:40.995000+00:00,57.9956972,17.8058487,5.56E-05,20.7267
188008,TNS,AT,2025-09-02 18:21:38.592000+00:00,107.8240323,-60.52913231,5.56E-05,18.46
188076,TNS,AT,2025-09-04 12:10:14.001000+00:00,120.8689523,19.5080325,5.56E-05,19.5843
188075,TNS,AT,2025-09-04 01:39:41.472000+00:00,42.66527152,18.6108338,5.56E-05,19.24
187013,TNS,SN Ia,2025-08-25 10:55:21.996000+00:00,58.74251461,-14.53189751,5.56E-05,20.0328
188074,TNS,AT,2025-09-03 18:23:46.464000+00:00,317.631958,43.128583,5.56E-05,17.91
188073,TNS,AT,2025-06-26 21:36:00+00:00,172.142108,58.56145,5.56E-05,18.5
